Date/Time,FIRSTFLOOR_1:Zone Mean Radiant Temperature [C](Hourly),ROOF_0:Zone Mean Radiant Temperature [C](Hourly),FIRSTFLOOR_1:Zone Windows Total Transmitted Solar Radiation Energy [J](Hourly),ROOF_0:Zone Windows Total Transmitted Solar Radiation Energy [J](Hourly),FIRSTFLOOR_1:Zone Windows Total Heat Gain Energy [J](Hourly),FIRSTFLOOR_1:Zone Windows Total Heat Loss Energy [J](Hourly),FIRSTFLOOR_1:Zone Opaque Surface Inside Faces Total Conduction Heat Gain Energy [J](Hourly),FIRSTFLOOR_1:Zone Opaque Surface Inside Faces Total Conduction Heat Loss Energy [J](Hourly),ROOF_0:Zone Windows Total Heat Gain Energy [J](Hourly),ROOF_0:Zone Windows Total Heat Loss Energy [J](Hourly),ROOF_0:Zone Opaque Surface Inside Faces Total Conduction Heat Gain Energy [J](Hourly),ROOF_0:Zone Opaque Surface Inside Faces Total Conduction Heat Loss Energy [J](Hourly),FIRSTFLOOR_1:Zone Mean Air Temperature [C](Hourly),FIRSTFLOOR_1:Zone Operative Temperature [C](Hourly),ROOF_0:Zone Mean Air Temperature [C](Hourly),ROOF_0:Zone Operative Temperature [C](Hourly),FIRSTFLOOR_1:Zone Infiltration Total Heat Loss Energy [J](Hourly),FIRSTFLOOR_1:Zone Infiltration Total Heat Gain Energy [J](Hourly),FIRSTFLOOR_1:Zone Ventilation Total Heat Loss Energy [J](Hourly),FIRSTFLOOR_1:Zone Ventilation Total Heat Gain Energy [J](Hourly),FIRSTFLOOR_1:Zone Air Relative Humidity [%](Hourly),ROOF_0:Zone Air Relative Humidity [%](Hourly),FIRSTFLOOR_1 IDEAL LOADS AIR:Zone Ideal Loads Supply Air Total Heating Energy [J](Hourly),FIRSTFLOOR_1 IDEAL LOADS AIR:Zone Ideal Loads Supply Air Total Cooling Energy [J](Hourly),FIRSTFLOOR_1 IDEAL LOADS AIR:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),FIRSTFLOOR_1 IDEAL LOADS AIR:Zone Ideal Loads Zone Total Cooling Energy [J](Hourly),FIRSTFLOOR_1 IDEAL LOADS AIR:Zone Ideal Loads Outdoor Air Total Heating Energy [J](Hourly),FIRSTFLOOR_1 IDEAL LOADS AIR:Zone Ideal Loads Outdoor Air Total Cooling Energy [J](Hourly),FIRSTFLOOR_1 IDEAL LOADS AIR:Zone Ideal Loads Heat Recovery Total Heating Energy [J](Hourly),FIRSTFLOOR_1 IDEAL LOADS AIR:Zone Ideal Loads Heat Recovery Total Cooling Energy [J](Hourly),ROOF_0 IDEAL LOADS AIR:Zone Ideal Loads Supply Air Total Heating Energy [J](Hourly),ROOF_0 IDEAL LOADS AIR:Zone Ideal Loads Supply Air Total Cooling Energy [J](Hourly),ROOF_0 IDEAL LOADS AIR:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),ROOF_0 IDEAL LOADS AIR:Zone Ideal Loads Zone Total Cooling Energy [J](Hourly),ROOF_0 IDEAL LOADS AIR:Zone Ideal Loads Outdoor Air Total Heating Energy [J](Hourly),ROOF_0 IDEAL LOADS AIR:Zone Ideal Loads Outdoor Air Total Cooling Energy [J](Hourly),ROOF_0 IDEAL LOADS AIR:Zone Ideal Loads Heat Recovery Total Heating Energy [J](Hourly),ROOF_0 IDEAL LOADS AIR:Zone Ideal Loads Heat Recovery Total Cooling Energy [J](Hourly) 
 01/01  11:00:00,0.3210512895634356,-0.3284798572202114,2271164.9336171886,0.0,1879904.714760026,0.0,0.0,1501658.8424135444,0.0,0.0,85502.3069988031,0.0,-5.174208164162438e-17,0.16052564478171777,-0.3691650107443724,-0.3488224339822919,615030511.4409752,0.0,0.0,0.0,59.69436987929297,63.705396095981655,614766923.2608949,0.0,614766923.2608949,1.7462298274040222e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  12:00:00,0.4776059181498771,-0.17341717388861025,2594146.202598018,0.0,2290613.30005595,0.0,0.0,1622974.959985927,0.0,0.0,145038.33377752372,0.0,-2.6791385436751115e-17,0.2388029590749385,-0.23488702801353734,-0.2041521009510738,437097018.2157643,0.0,0.0,0.0,61.50645951078166,63.00364380850208,437188086.7707411,0.0,437188086.7707411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  13:00:00,0.5028005489194466,0.006131268148154877,3234270.5269730585,0.0,3066133.7356151612,0.0,237257.03425922897,359743.8184038111,0.0,0.0,172892.86890555942,0.0,-1.137048308869027,-0.31712387997479036,-0.046744297007175646,-0.020306514429510383,3856521.7763127256,68509.53445610104,0.0,0.0,68.96502006922853,62.00056994162953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  14:00:00,0.5949761528014217,0.16511657246672407,4445021.0475415215,0.0,4416423.578870887,0.0,0.0,1400958.2554435662,0.0,0.0,152074.7588918295,0.0,-0.820192636618923,-0.11260824190875067,0.15075142903436625,0.15793400075054517,2502139.1697206195,0.0,0.0,0.0,67.38402319925916,61.05495983734977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  15:00:00,0.6691915686981335,0.2820461100610725,4481715.091524739,0.0,4408041.139685969,0.0,0.0,1427073.8229058487,0.0,0.0,102760.92808029905,0.0,-0.9088433760072506,-0.1198259036545586,0.299308696363298,0.2906774032121852,3489057.2919671526,0.0,0.0,0.0,67.82618669796246,60.400549577767805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  16:00:00,0.7828862931648087,0.3558595350806007,4880900.635564258,0.0,4867017.185249139,0.0,0.0,3115639.009293586,0.0,0.0,55483.99543115297,0.0,-0.004990440042382577,0.3889479265612131,0.39142977509894633,0.37364465508977346,156352197.32531625,0.0,0.0,0.0,64.78262156011066,60.03426594183416,157640806.26140124,0.0,157640806.26140124,7.09405867382884e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  17:00:00,0.651548215385377,0.393841637367091,1244906.2064723528,0.0,1107278.7461833067,149672.48802940396,516104.76463374053,413209.9133421222,0.0,0.0,23845.7582929919,0.0,-6.789225943785219e-16,0.32577410769268816,0.43726209281006256,0.41555186508857683,217124702.12872076,0.0,0.0,0.0,65.82558466887859,59.86071266121747,215926804.76508328,0.0,215926804.76508328,2.1827872842550278e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  18:00:00,0.45730051775622,0.397197014078436,0.0,0.0,0.0,461912.05778713356,1133996.095963749,0.0,0.0,0.0,2166.4224980738977,8890.69335070962,-5.143665998112701e-17,0.22865025887811,0.4493916027336873,0.42329430840606164,467676531.3891021,0.0,0.0,0.0,65.27790831595713,59.80817021913836,466897053.7207064,0.0,466897053.7207064,2.6193447411060333e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  19:00:00,0.35567266416690235,0.3482002511691961,0.0,0.0,0.0,615638.0106769187,1070961.186453768,0.0,0.0,0.0,0.0,48501.63499709061,-8.474665949301152e-19,0.17783633208345118,0.41585354023635607,0.38202689570277615,853909252.0144693,0.0,0.0,0.0,63.04125326558341,59.953594652606,851832683.2949961,0.0,851832683.2949961,8.731149137020111e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  20:00:00,0.27606638122211075,0.2574651424490635,0.0,0.0,0.0,656975.8878847894,965990.288422143,0.0,0.0,0.0,0.0,82861.04964252292,-7.340104964178529e-23,0.13803319061105537,0.33408330958328375,0.2957742260161736,864885631.6825415,0.0,0.0,0.0,63.33425094024684,60.30978785288416,866036608.0838042,0.0,866036608.0838042,1.7462298274040222e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
